startdate,enddate,theisen,p5max,p10max,p15max,p30max,p60max,ei
3/9/2013 16:07,3/9/2013 23:32,0.405,0.216,0.162,0.108,0.108,0.09,0.362
3/10/2013 3:09,3/10/2013 10:51,0.27,0.216,0.162,0.144,0.126,0.099,0.281
3/10/2013 14:59,3/11/2013 0:36,0.459,0.216,0.216,0.18,0.144,0.126,0.547
3/11/2013 14:45,3/11/2013 16:08,0.018,0.108,0.054,0.036,0.018,0.009,0.003
3/11/2013 22:17,3/11/2013 22:18,0.009,-9,-9,-9,-9,-9,-9
3/30/2013 18:10,3/30/2013 19:54,0.072,0.108,0.108,0.108,0.072,0.054,0.043
3/30/2013 23:34,3/30/2013 23:35,0.009,-9,-9,-9,-9,-9,-9
4/6/2013 10:42,4/6/2013 11:35,0.036,0.108,0.054,0.072,0.036,-9,0.011
4/8/2013 9:11,4/8/2013 12:45,0.207,0.216,0.162,0.144,0.108,0.09,0.185
4/9/2013 9:41,4/9/2013 15:50,0.549,0.54,0.486,0.432,0.36,0.306,1.635
4/10/2013 1:37,4/10/2013 1:38,0.009,-9,-9,-9,-9,-9,-9
4/10/2013 10:58,4/10/2013 14:31,0.311,2.652,1.38,0.92,0.46,0.239,1.434
4/11/2013 8:54,4/11/2013 12:27,0.099,0.108,0.108,0.072,0.054,0.054,0.044
4/11/2013 15:22,4/11/2013 15:23,0.009,-9,-9,-9,-9,-9,-9
4/11/2013 19:12,4/11/2013 19:13,0.009,-9,-9,-9,-9,-9,-9
4/12/2013 1:41,4/12/2013 2:52,0.027,0.108,0.054,0.036,0.018,0.018,0.004
4/12/2013 7:56,4/12/2013 10:37,0.045,0.108,0.054,0.036,0.018,0.018,0.007
4/12/2013 15:36,4/12/2013 15:37,0.009,-9,-9,-9,-9,-9,-9
4/14/2013 13:11,4/14/2013 14:29,0.045,0.108,0.108,0.072,0.072,0.036,0.027
4/15/2013 1:46,4/15/2013 4:27,0.324,0.648,0.648,0.468,0.324,0.207,0.88
4/15/2013 14:49,4/15/2013 15:32,0.018,0.108,0.054,0.036,0.018,-9,0.003
4/17/2013 14:01,4/17/2013 16:02,0.18,0.216,0.162,0.144,0.144,0.117,0.214
4/17/2013 21:39,4/17/2013 21:40,0.009,-9,-9,-9,-9,-9,-9
4/18/2013 1:14,4/18/2013 2:08,0.018,0.108,0.054,0.036,0.018,-9,0.003
4/18/2013 6:59,4/18/2013 9:44,0.108,0.216,0.162,0.108,0.072,0.063,0.064
4/18/2013 16:48,4/18/2013 16:49,0.009,-9,-9,-9,-9,-9,-9
4/18/2013 19:58,4/18/2013 19:59,0.009,-9,-9,-9,-9,-9,-9
4/19/2013 9:41,4/19/2013 9:42,0.009,-9,-9,-9,-9,-9,-9
4/23/2013 4:38,4/23/2013 5:02,0.036,0.108,0.108,0.108,-9,-9,-9
4/29/2013 8:51,4/29/2013 13:33,0.225,0.54,0.486,0.36,0.18,0.153,0.342
4/30/2013 4:57,4/30/2013 6:27,0.207,0.54,0.432,0.432,0.324,0.189,0.561
5/2/2013 14:54,5/3/2013 3:16,1.433,0.876,0.708,0.616,0.524,0.379,6.336
5/3/2013 11:22,5/3/2013 13:48,0.27,0.972,0.702,0.576,0.342,0.207,0.795
5/3/2013 16:06,5/3/2013 21:07,0.144,0.216,0.216,0.18,0.126,0.072,0.15
5/9/2013 16:05,5/10/2013 6:11,0.666,0.108,0.108,0.108,0.108,0.09,0.595
5/10/2013 8:51,5/10/2013 8:52,0.009,-9,-9,-9,-9,-9,-9
5/11/2013 8:09,5/11/2013 10:53,0.09,0.216,0.108,0.108,0.072,0.045,0.054
5/11/2013 13:47,5/11/2013 13:48,0.009,-9,-9,-9,-9,-9,-9
5/17/2013 8:44,5/17/2013 15:44,0.315,0.216,0.162,0.144,0.126,0.099,0.328
5/20/2013 3:12,5/20/2013 3:31,0.018,0.108,0.054,0.036,-9,-9,-9
5/21/2013 1:01,5/21/2013 1:42,0.045,0.216,0.216,0.144,0.072,-9,0.027
5/22/2013 11:22,5/22/2013 17:17,0.468,0.324,0.27,0.216,0.198,0.153,0.767
5/22/2013 21:28,5/23/2013 4:59,0.243,0.324,0.27,0.18,0.144,0.108,0.29
5/27/2013 23:17,5/27/2013 23:18,0.009,-9,-9,-9,-9,-9,-9
5/28/2013 7:45,5/28/2013 12:51,0.189,0.324,0.27,0.288,0.216,0.126,0.338
5/29/2013 11:11,5/29/2013 11:12,0.009,-9,-9,-9,-9,-9,-9
5/30/2013 15:42,5/30/2013 17:04,0.036,0.324,0.162,0.108,0.054,0.027,0.016
5/30/2013 19:54,5/30/2013 22:34,0.099,0.324,0.216,0.18,0.162,0.09,0.133
5/31/2013 4:31,5/31/2013 4:32,0.009,-9,-9,-9,-9,-9,-9
6/1/2013 18:29,6/1/2013 18:57,0.273,1.008,0.774,0.696,-9,-9,-9
6/2/2013 1:19,6/2/2013 1:20,0.009,-9,-9,-9,-9,-9,-9
6/4/2013 7:34,6/4/2013 7:35,0.009,-9,-9,-9,-9,-9,-9
6/4/2013 11:27,6/4/2013 15:49,0.225,0.216,0.162,0.108,0.09,0.072,0.168
6/4/2013 20:52,6/4/2013 22:22,0.036,0.108,0.054,0.036,0.036,0.027,0.011
6/5/2013 1:05,6/5/2013 1:57,0.018,0.108,0.054,0.036,0.018,-9,0.003
6/5/2013 12:03,6/5/2013 13:27,0.036,0.108,0.108,0.072,0.054,0.027,0.016
6/5/2013 16:44,6/5/2013 16:45,0.009,-9,-9,-9,-9,-9,-9
6/5/2013 19:49,6/5/2013 19:50,0.009,-9,-9,-9,-9,-9,-9
6/6/2013 0:18,6/6/2013 0:59,0.045,0.108,0.108,0.108,0.072,-9,0.027
6/6/2013 3:17,6/6/2013 10:42,0.279,0.216,0.162,0.144,0.09,0.081,0.208
6/8/2013 14:41,6/8/2013 14:46,0.018,0.216,-9,-9,-9,-9,-9
6/12/2013 3:09,6/12/2013 3:45,0.018,0.108,0.054,0.036,0.018,-9,0.003
6/12/2013 17:51,6/12/2013 19:41,0.189,0.54,0.378,0.324,0.216,0.135,0.342
6/15/2013 20:39,6/15/2013 22:45,0.618,1.584,1.062,0.78,0.54,0.36,2.923
6/16/2013 2:02,6/16/2013 2:03,0.009,-9,-9,-9,-9,-9,-9
6/17/2013 15:16,6/17/2013 17:42,0.153,0.432,0.216,0.252,0.18,0.108,0.228
6/21/2013 9:02,6/21/2013 11:23,0.343,0.66,0.492,0.364,0.236,0.162,0.675
6/22/2013 22:54,6/23/2013 2:28,0.351,0.864,0.702,0.648,0.45,0.279,1.339
6/25/2013 3:30,6/25/2013 3:31,0.009,-9,-9,-9,-9,-9,-9
6/25/2013 5:44,6/25/2013 5:45,0.009,-9,-9,-9,-9,-9,-9
6/26/2013 13:23,6/26/2013 13:24,0.009,-9,-9,-9,-9,-9,-9
6/27/2013 3:58,6/27/2013 4:19,0.527,3.54,2.502,2.036,-9,-9,-9
6/27/2013 18:26,6/27/2013 18:33,0.027,0.216,-9,-9,-9,-9,-9
6/27/2013 20:48,6/27/2013 22:21,0.09,0.54,0.378,0.324,0.162,0.081,0.121
6/28/2013 15:54,6/28/2013 15:55,0.009,-9,-9,-9,-9,-9,-9
6/28/2013 23:05,6/29/2013 1:24,0.072,0.108,0.108,0.072,0.054,0.036,0.032
7/3/2013 7:23,7/3/2013 7:48,0.018,0.108,0.054,0.036,-9,-9,-9
7/8/2013 5:18,7/8/2013 10:09,1.798,2.316,1.818,1.464,1.008,0.9,16.559
7/9/2013 12:49,7/9/2013 13:32,0.09,0.432,0.324,0.216,0.144,-9,0.107
7/17/2013 13:24,7/17/2013 13:50,0.108,0.756,0.486,0.36,-9,-9,-9
7/22/2013 20:40,7/22/2013 23:40,0.153,0.324,0.27,0.252,0.126,0.081,0.16
7/26/2013 13:58,7/26/2013 16:45,0.471,2.796,1.722,1.22,0.61,0.462,2.847
7/26/2013 19:59,7/26/2013 20:11,0.671,6.024,3.918,-9,-9,-9,-9
7/26/2013 23:47,7/26/2013 23:48,0.009,-9,-9,-9,-9,-9,-9
7/28/2013 12:58,7/28/2013 13:33,0.027,0.108,0.054,0.036,0.036,-9,0.008
7/28/2013 16:06,7/28/2013 20:43,0.234,0.432,0.27,0.18,0.126,0.099,0.246
7/31/2013 15:44,7/31/2013 16:02,0.036,0.108,0.108,0.108,-9,-9,-9
