DATE	TIME	TZCD	VALUE	PRECISION	REMARK	FLAGS	QA
20120307	141000	CST	0.00	2	 		W
20120307	141500	CST	0.00	2	 		W
20120307	142000	CST	0.00	2	 		W
20120307	142500	CST	0.00	2	 		W
20120307	143000	CST	0.00	2	 		W
20120307	144500	CST	0.00	2	 		W
20120307	145000	CST	0.00	2	 		W
20120307	145500	CST	0.00	2	 		W
20120307	150000	CST	0.00	2	 		W
20120307	151000	CST	0.00	2	 		W
20120307	151500	CST	0.00	2	 		W
20120307	152500	CST	0.00	2	 		W
20120307	153000	CST	0.00	2	 		W
20120307	154500	CST	0.00	2	 		W
20120307	155500	CST	0.00	2	 		W
20120307	160000	CST	0.00	2	 		W
20120307	161500	CST	0.00	2	 		W
20120307	162000	CST	0.00	2	 		W
20120307	162500	CST	0.00	2	 		W
20120307	163000	CST	0.00	2	 		W
20120307	163500	CST	0.00	2	 		W
20120307	164000	CST	0.00	2	 		W
20120307	164500	CST	0.00	2	 		W
20120307	165000	CST	0.00	2	 		W
20120307	170000	CST	0.00	2	 		W
20120307	170500	CST	0.00	2	 		W
20120307	171000	CST	0.00	2	 		W
20120307	171500	CST	0.00	2	 		W
20120307	172000	CST	0.00	2	 		W
20120307	172500	CST	0.00	2	 		W
20120307	173000	CST	0.00	2	 		W
20120307	174000	CST	0.00	2	 		W
20120307	174500	CST	0.00	2	 		W
20120307	175000	CST	0.00	2	 		W
20120307	180000	CST	0.00	2	 		W
20120307	181500	CST	0.00	2	 		W
20120307	182500	CST	0.00	2	 		W
20120307	183000	CST	0.00	2	 		W
20120307	184500	CST	0.00	2	 		W
20120307	190000	CST	0.00	2	 		W
20120307	191500	CST	0.00	2	 		W
20120307	193000	CST	0.00	2	 		W
20120307	194500	CST	0.00	2	 		W
20120307	200000	CST	0.00	2	 		W
20120307	201000	CST	0.03	2	 		W
20120307	201500	CST	0.00	2	 		W
20120307	203000	CST	0.00	2	 		W
20120307	204500	CST	0.00	2	 		W
20120307	205500	CST	0.01	2	 		W
20120307	210000	CST	0.00	2	 		W
20120307	210500	CST	0.01	2	 		W
20120307	211500	CST	0.00	2	 		W
20120307	212000	CST	0.01	2	 		W
20120307	213000	CST	0.01	2	 		W
20120307	213500	CST	0.01	2	 		W
20120307	214500	CST	0.01	2	 		W
20120307	215000	CST	0.04	2	 		W
20120307	215500	CST	0.01	2	 		W
20120307	220000	CST	0.06	2	 		W
20120307	220500	CST	0.02	2	 		W
20120307	221000	CST	0.03	2	 		W
20120307	221500	CST	0.02	2	 		W
20120307	222000	CST	0.01	2	 		W
20120307	222500	CST	0.00	2	 		W
20120307	223000	CST	0.00	2	 		W
20120307	223500	CST	0.00	2	 		W
20120307	224000	CST	0.01	2	 		W
20120307	224500	CST	0.00	2	 		W
20120307	225000	CST	0.00	2	 		W
20120307	225500	CST	0.02	2	 		W
20120307	230000	CST	0.00	2	 		W
20120307	230500	CST	0.00	2	 		W
20120307	231000	CST	0.00	2	 		W
20120307	231500	CST	0.00	2	 		W
20120307	232000	CST	0.00	2	 		W
20120307	232500	CST	0.00	2	 		W
20120307	233000	CST	0.00	2	 		W
20120307	233500	CST	0.00	2	 		W
20120307	234000	CST	0.00	2	 		W
20120307	234500	CST	0.00	2	 		W
20120307	235000	CST	0.00	2	 		W
20120307	235500	CST	0.00	2	 		W
20120308	000000	CST	0.00	2	 		W
20120308	000500	CST	0.00	2	 		W
20120308	001000	CST	0.00	2	 		W
20120308	001500	CST	0.00	2	 		W
20120308	002000	CST	0.00	2	 		W
20120308	003000	CST	0.00	2	 		W
20120308	004500	CST	0.00	2	 		W
20120308	010000	CST	0.00	2	 		W
20120308	011500	CST	0.00	2	 		W
20120308	013000	CST	0.00	2	 		W
20120308	014500	CST	0.00	2	 		W
20120308	015500	CST	0.01	2	 		W
20120308	020000	CST	0.00	2	 		W
20120308	021500	CST	0.00	2	 		W
20120308	023000	CST	0.00	2	 		W
20120308	024500	CST	0.00	2	 		W
20120308	030000	CST	0.00	2	 		W
20120308	031500	CST	0.00	2	 		W
20120308	033000	CST	0.00	2	 		W
20120308	034500	CST	0.00	2	 		W
20120308	040000	CST	0.00	2	 		W
20120308	041500	CST	0.00	2	 		W
20120308	043000	CST	0.00	2	 		W
20120308	044500	CST	0.00	2	 		W
20120308	050000	CST	0.00	2	 		W
20120308	051500	CST	0.00	2	 		W
20120308	053000	CST	0.00	2	 		W
20120308	054500	CST	0.00	2	 		W
20120308	055500	CST	0.00	2	 		W
20120308	060000	CST	0.00	2	 		W
20120308	060500	CST	0.00	2	 		W
20120308	061000	CST	0.00	2	 		W
20120308	061500	CST	0.00	2	 		W
20120308	062000	CST	0.00	2	 		W
20120308	062500	CST	0.00	2	 		W
20120308	063000	CST	0.00	2	 		W
20120308	063500	CST	0.00	2	 		W
20120308	064000	CST	0.00	2	 		W
20120308	064500	CST	0.00	2	 		W
20120308	065000	CST	0.00	2	 		W
20120308	065500	CST	0.00	2	 		W
20120308	070000	CST	0.00	2	 		W
20120308	070500	CST	0.00	2	 		W
20120308	071000	CST	0.00	2	 		W
20120308	071500	CST	0.00	2	 		W
20120308	073000	CST	0.00	2	 		W
20120308	073500	CST	0.00	2	 		W
20120308	074000	CST	0.00	2	 		W
20120308	074500	CST	0.00	2	 		W
20120308	080000	CST	0.00	2	 		W
20120308	081500	CST	0.00	2	 		W
20120308	083000	CST	0.00	2	 		W
20120308	084500	CST	0.00	2	 		W
20120308	090000	CST	0.00	2	 		W
20120308	091500	CST	0.00	2	 		W
20120308	093000	CST	0.00	2	 		W
20120308	094500	CST	0.00	2	 		W
20120308	100000	CST	0.00	2	 		W
20120308	101500	CST	0.00	2	 		W
20120308	102500	CST	0.00	2	 		W
20120308	103000	CST	0.00	2	 		W
20120308	104500	CST	0.00	2	 		W
20120308	110000	CST	0.00	2	 		W
20120308	111500	CST	0.00	2	 		W
20120308	113000	CST	0.00	2	 		W
20120308	114500	CST	0.00	2	 		W
20120308	120000	CST	0.00	2	 		W
20120308	121500	CST	0.00	2	 		W
20120308	123000	CST	0.00	2	 		W
20120308	124500	CST	0.00	2	 		W
20120308	130000	CST	0.00	2	 		W
20120308	131500	CST	0.00	2	 		W
20120308	133000	CST	0.00	2	 		W
20120308	134500	CST	0.00	2	 		W
20120308	140000	CST	0.00	2	 		W
20120308	141500	CST	0.00	2	 		W
20120308	143000	CST	0.00	2	 		W
20120308	144500	CST	0.00	2	 		W
20120308	150000	CST	0.00	2	 		W
20120308	151500	CST	0.00	2	 		W
20120308	153000	CST	0.00	2	 		W
20120308	154500	CST	0.00	2	 		W
20120308	160000	CST	0.00	2	 		W
20120308	161500	CST	0.00	2	 		W
20120308	163000	CST	0.00	2	 		W
20120308	164500	CST	0.00	2	 		W
20120308	170000	CST	0.00	2	 		W
20120308	171500	CST	0.00	2	 		W
20120308	173000	CST	0.00	2	 		W
20120308	174500	CST	0.00	2	 		W
20120308	180000	CST	0.00	2	 		W
20120308	181500	CST	0.00	2	 		W
20120308	183000	CST	0.00	2	 		W
20120308	184500	CST	0.00	2	 		W
20120308	190000	CST	0.00	2	 		W
20120308	191500	CST	0.00	2	 		W
20120308	193000	CST	0.00	2	 		W
20120308	194500	CST	0.00	2	 		W
20120308	200000	CST	0.00	2	 		W
20120308	201500	CST	0.00	2	 		W
20120308	203000	CST	0.00	2	 		W
20120308	204500	CST	0.00	2	 		W
20120308	210000	CST	0.00	2	 		W
20120308	211500	CST	0.00	2	 		W
20120308	213000	CST	0.00	2	 		W
20120308	214500	CST	0.00	2	 		W
20120308	220000	CST	0.00	2	 		W
20120308	221500	CST	0.00	2	 		W
20120308	223000	CST	0.00	2	 		W
20120308	224500	CST	0.00	2	 		W
20120308	230000	CST	0.00	2	 		W
20120308	231500	CST	0.00	2	 		W
20120308	233000	CST	0.00	2	 		W
20120308	234500	CST	0.00	2	 		W
20120309	000000	CST	0.00	2	 		W
20120309	001500	CST	0.00	2	 		W
20120309	003000	CST	0.00	2	 		W
20120309	004500	CST	0.00	2	 		W
20120309	010000	CST	0.00	2	 		W
20120309	011500	CST	0.00	2	 		W
20120309	013000	CST	0.00	2	 		W
20120309	014500	CST	0.00	2	 		W
20120309	020000	CST	0.00	2	 		W
20120309	021500	CST	0.00	2	 		W
20120309	023000	CST	0.00	2	 		W
20120309	024500	CST	0.00	2	 		W
20120309	030000	CST	0.00	2	 		W
20120309	031500	CST	0.00	2	 		W
20120309	033000	CST	0.00	2	 		W
20120309	034500	CST	0.00	2	 		W
20120309	040000	CST	0.00	2	 		W
20120309	041500	CST	0.00	2	 		W
20120309	043000	CST	0.00	2	 		W
20120309	044500	CST	0.00	2	 		W
20120309	050000	CST	0.00	2	 		W
20120309	051500	CST	0.00	2	 		W
20120309	053000	CST	0.00	2	 		W
20120309	054500	CST	0.00	2	 		W
20120309	060000	CST	0.00	2	 		W
20120309	061500	CST	0.00	2	 		W
20120309	063000	CST	0.00	2	 		W
20120309	064500	CST	0.00	2	 		W
20120309	070000	CST	0.00	2	 		W
20120309	071500	CST	0.00	2	 		W
20120309	073000	CST	0.00	2	 		W
20120309	074500	CST	0.00	2	 		W
20120309	080000	CST	0.00	2	 		W
20120309	081500	CST	0.00	2	 		W
20120309	083000	CST	0.00	2	 		W
20120309	084500	CST	0.00	2	 		W
20120309	090000	CST	0.00	2	 		W
20120309	091500	CST	0.00	2	 		W
20120309	093000	CST	0.00	2	 		W
20120309	094500	CST	0.00	2	 		W
20120309	100000	CST	0.00	2	 		W
20120309	101500	CST	0.00	2	 		W
20120309	103000	CST	0.00	2	 		W
20120309	104500	CST	0.00	2	 		W
20120309	110000	CST	0.00	2	 		W
20120309	111500	CST	0.00	2	 		W
20120309	113000	CST	0.00	2	 		W
20120309	114500	CST	0.00	2	 		W
20120309	120000	CST	0.00	2	 		W
20120309	121500	CST	0.00	2	 		W
20120309	123000	CST	0.00	2	 		W
20120309	124500	CST	0.00	2	 		W
20120309	130000	CST	0.00	2	 		W
20120309	131500	CST	0.00	2	 		W
20120309	133000	CST	0.00	2	 		W
20120309	134500	CST	0.00	2	 		W
20120309	140000	CST	0.00	2	 		W
20120309	141500	CST	0.00	2	 		W
20120309	143000	CST	0.00	2	 		W
20120309	144500	CST	0.00	2	 		W
